                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69509,                0.50504,                0.97661,                0.87155,                0.88333,                0.93698,                0.72659,                  1.045,                0.60538,                 1.2397,             0.00023366,             0.00023366,             0.00023366
                     36,                0.66756,                0.53381,                0.97604,                0.76754,                0.92419,                0.95361,                0.73323,                 1.0313,                0.70269,                  1.289,             0.00023317,             0.00023317,             0.00023317
                     37,                0.71529,                0.52883,                0.98671,                0.77994,                0.84063,                0.91587,                0.70221,                 1.0521,                0.76731,                 1.2445,             0.00023268,             0.00023268,             0.00023268
                     38,                0.69073,                0.48492,                0.96051,                0.72521,                0.89217,                0.91128,                0.69141,                 1.0758,                 0.8294,                  1.312,             0.00023218,             0.00023218,             0.00023218
                     39,                0.69396,                0.52493,                0.99609,                0.72109,                0.91461,                0.90754,                0.68222,                 1.0816,                 0.8304,                  1.279,             0.00023169,             0.00023169,             0.00023169
                     40,                0.67363,                0.48535,                0.96879,                0.76932,                0.91416,                0.90467,                0.68645,                  1.071,                0.76557,                 1.2864,             0.00023119,             0.00023119,             0.00023119
                     41,                0.66312,                0.47912,                0.95059,                0.75043,                0.91602,                0.89683,                0.68372,                  1.042,                0.78274,                 1.2242,              0.0002307,              0.0002307,              0.0002307
                     42,                0.66617,                0.49185,                0.97291,                0.87767,                0.80386,                0.91024,                0.68827,                 1.0892,                0.79944,                 1.2714,              0.0002302,              0.0002302,              0.0002302
                     43,                0.68369,                0.50357,                0.97768,                0.87814,                  0.818,                 0.9459,                0.72315,                 1.0859,                0.77437,                 1.2673,             0.00022971,             0.00022971,             0.00022971
                     44,                 0.6546,                0.47422,                0.95542,                0.88601,                0.84291,                 0.9649,                0.74315,                 1.0273,                0.73379,                  1.227,             0.00022921,             0.00022921,             0.00022921
                     45,                0.65609,                0.47896,                0.95576,                0.86439,                0.84444,                 0.9652,                 0.7568,                 1.0068,                0.69137,                 1.2379,             0.00022871,             0.00022871,             0.00022871
                     46,                0.64065,                0.46703,                0.95832,                0.72894,                0.92552,                0.95363,                0.72819,                 1.0236,                0.75406,                 1.2537,             0.00022822,             0.00022822,             0.00022822
                     47,                 0.6611,                0.48233,                0.95233,                0.79644,                0.89929,                0.92628,                0.71439,                 1.0161,                0.74274,                  1.266,             0.00022773,             0.00022773,             0.00022773
                     48,                0.66229,                0.49033,                0.98428,                0.84761,                0.85441,                0.94282,                0.70901,                 1.0935,                0.75772,                 1.3287,             0.00022723,             0.00022723,             0.00022723
                     49,                 0.6597,                0.47482,                0.96116,                0.82101,                0.85949,                 0.9121,                0.69236,                 1.0589,                0.74923,                 1.3325,             0.00022674,             0.00022674,             0.00022674
                     50,                0.62819,                0.45893,                0.95685,                0.78722,                0.87382,                 0.9028,                0.67349,                   1.08,                0.76833,                 1.3139,             0.00022624,             0.00022624,             0.00022624
                     51,                0.63132,                0.45996,                0.94594,                0.79928,                0.91434,                0.88095,                0.67294,                 1.0377,                0.80838,                 1.2865,             0.00022575,             0.00022575,             0.00022575
                     52,                0.59516,                0.44201,                0.93361,                0.81835,                0.91128,                 0.8892,                0.66081,                 1.0993,                0.76309,                 1.3013,             0.00022525,             0.00022525,             0.00022525
                     53,                0.57071,                0.43541,                0.92914,                0.81634,                0.91182,                0.92483,                0.68941,                  1.087,                0.74585,                 1.3272,             0.00022476,             0.00022476,             0.00022476
                     54,                0.56056,                 0.4267,                0.91762,                0.80508,                0.90601,                0.92149,                0.71055,                 1.0868,                0.78356,                 1.3601,             0.00022426,             0.00022426,             0.00022426
                     55,                0.56459,                0.42564,                0.91428,                0.82525,                 0.9016,                0.94637,                0.69568,                 1.1025,                0.74606,                 1.3656,             0.00022376,             0.00022376,             0.00022376
                     56,                0.56368,                0.43034,                0.92148,                0.84021,                0.90308,                0.95167,                0.71685,                  1.059,                0.69792,                 1.3347,             0.00022327,             0.00022327,             0.00022327
                     57,                0.54918,                0.41385,                0.90566,                0.85033,                0.84599,                0.94945,                0.72841,                 1.0352,                 0.7206,                 1.3028,             0.00022278,             0.00022278,             0.00022278
                     58,                0.55642,                0.42282,                0.92232,                0.82241,                0.83725,                0.93342,                0.70022,                 1.0924,                0.77639,                 1.3505,             0.00022228,             0.00022228,             0.00022228
                     59,                0.53923,                0.41273,                0.90858,                0.84036,                0.88464,                0.94418,                0.71502,                 1.0691,                 0.7917,                  1.292,             0.00022179,             0.00022179,             0.00022179
                     60,                 0.5643,                0.43466,                0.92073,                0.80765,                0.94008,                 0.9317,                0.72067,                  1.028,                0.72402,                  1.325,             0.00022129,             0.00022129,             0.00022129
                     61,                0.53475,                0.41765,                0.90808,                0.81115,                0.88825,                0.93332,                0.70562,                  1.065,                0.78742,                 1.3346,              0.0002208,              0.0002208,              0.0002208
