                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69562,                 0.4289,                0.99229,                0.95706,                0.96182,                 0.9823,                0.80152,                0.77354,                0.39608,                 1.0982,             0.00022958,             0.00022958,             0.00022958
                     36,                0.68763,                0.41801,                0.99516,                0.95257,                0.95751,                0.97795,                0.79511,                0.77852,                 0.4089,                 1.0904,             0.00022896,             0.00022896,             0.00022896
                     37,                0.66966,                0.41451,                0.97875,                0.95376,                  0.967,                0.97994,                0.80014,                0.76739,                0.38817,                 1.0924,             0.00022834,             0.00022834,             0.00022834
                     38,                0.67101,                0.40782,                0.97987,                0.95243,                0.96377,                0.97905,                0.79406,                0.78407,                0.42117,                 1.1041,             0.00022773,             0.00022773,             0.00022773
                     39,                0.67739,                 0.4168,                0.98536,                0.95915,                0.94389,                0.97952,                0.79529,                 0.7778,                0.41767,                 1.1028,             0.00022711,             0.00022711,             0.00022711
                     40,                0.66275,                0.40635,                0.98168,                0.95265,                0.96081,                0.97971,                0.80601,                0.74501,                0.39319,                 1.0845,             0.00022649,             0.00022649,             0.00022649
                     41,                0.65944,                 0.4063,                 0.9816,                0.94695,                0.95695,                0.97421,                0.79766,                0.75162,                0.40184,                  1.086,             0.00022587,             0.00022587,             0.00022587
                     42,                0.65685,                 0.3975,                0.98044,                0.95545,                0.96286,                0.97857,                0.79109,                0.78713,                0.41433,                 1.1102,             0.00022525,             0.00022525,             0.00022525
                     43,                0.65445,                0.38896,                0.97908,                0.94474,                0.96052,                0.98044,                0.79285,                0.79633,                0.41231,                 1.1183,             0.00022463,             0.00022463,             0.00022463
                     44,                0.63137,                0.39015,                0.97031,                0.94225,                0.97084,                0.98107,                0.79849,                0.78773,                0.39402,                 1.1126,             0.00022401,             0.00022401,             0.00022401
                     45,                0.63631,                0.39135,                0.97729,                0.95127,                0.96705,                0.97797,                0.79715,                0.77108,                0.39885,                 1.0952,             0.00022339,             0.00022339,             0.00022339
                     46,                0.62788,                0.38178,                0.96801,                0.95956,                0.96419,                0.97966,                0.79288,                0.78203,                 0.3791,                 1.1171,             0.00022278,             0.00022278,             0.00022278
                     47,                0.62258,                0.37699,                0.96197,                0.94675,                0.96723,                0.97895,                0.80053,                0.77576,                0.37779,                  1.118,             0.00022216,             0.00022216,             0.00022216
                     48,                0.63887,                0.38837,                0.96623,                0.96297,                  0.968,                0.98431,                0.80533,                0.76833,                0.37519,                 1.1086,             0.00022154,             0.00022154,             0.00022154
                     49,                 0.6146,                0.38104,                0.95802,                0.95998,                0.94752,                0.97966,                0.80754,                0.75603,                0.38292,                 1.0979,             0.00022092,             0.00022092,             0.00022092
                     50,                0.60157,                 0.3643,                0.95355,                0.94722,                0.95609,                0.97868,                0.80351,                 0.7678,                0.38564,                 1.1047,              0.0002203,              0.0002203,              0.0002203
                     51,                0.61256,                0.37792,                0.95625,                0.94724,                  0.957,                0.97348,                0.79019,                0.77009,                0.42564,                  1.109,             0.00021968,             0.00021968,             0.00021968
                     52,                0.60514,                0.38219,                0.95954,                0.94942,                0.96131,                0.98137,                0.79949,                0.77177,                0.38762,                 1.1004,             0.00021906,             0.00021906,             0.00021906
                     53,                0.60327,                0.37348,                0.95494,                0.95642,                  0.961,                0.98123,                0.80699,                0.75521,                0.38218,                 1.0979,             0.00021844,             0.00021844,             0.00021844
                     54,                0.58591,                0.37721,                0.95003,                0.95429,                0.95903,                0.98251,                0.80161,                0.76998,                0.37613,                 1.1021,             0.00021782,             0.00021782,             0.00021782
                     55,                 0.6013,                0.37359,                0.95497,                0.95287,                0.95655,                0.98149,                0.79378,                0.78127,                0.39015,                 1.1096,             0.00021721,             0.00021721,             0.00021721
                     56,                  0.605,                0.37309,                0.95823,                0.93959,                0.96359,                0.97635,                0.79452,                0.76899,                0.40804,                 1.1097,             0.00021659,             0.00021659,             0.00021659
                     57,                 0.5892,                0.36195,                0.94824,                0.94963,                0.96012,                0.97782,                0.80265,                0.75926,                0.39295,                 1.1003,             0.00021597,             0.00021597,             0.00021597
                     58,                0.58329,                0.35755,                0.94592,                0.95552,                0.95709,                0.97906,                0.79396,                0.77229,                0.37376,                  1.111,             0.00021535,             0.00021535,             0.00021535
                     59,                 0.5794,                0.36291,                0.93904,                0.94286,                0.95637,                0.97498,                0.78805,                0.78135,                0.40007,                 1.1124,             0.00021473,             0.00021473,             0.00021473
                     60,                0.57472,                0.36892,                0.94172,                0.94483,                 0.9663,                0.97905,                0.79849,                0.77334,                0.39145,                 1.1176,             0.00021411,             0.00021411,             0.00021411
                     61,                0.56323,                0.35748,                0.93424,                0.96466,                0.96326,                 0.9845,                0.80803,                0.76124,                0.36384,                 1.1065,             0.00021349,             0.00021349,             0.00021349
                     62,                0.56804,                0.35196,                0.93705,                0.95002,                0.95145,                0.97469,                0.78393,                0.78559,                0.41194,                 1.1246,             0.00021288,             0.00021288,             0.00021288
                     63,                0.56622,                0.35528,                0.94427,                0.96092,                0.96217,                0.97858,                 0.7959,                0.77748,                0.38423,                 1.1272,             0.00021226,             0.00021226,             0.00021226
                     64,                0.55995,                0.35351,                0.93528,                0.95272,                0.95608,                0.97854,                0.79195,                0.77911,                0.38367,                 1.1247,             0.00021164,             0.00021164,             0.00021164
                     65,                 0.5598,                0.35415,                0.93376,                0.96028,                0.95419,                0.98235,                0.80269,                0.77545,                0.37653,                 1.1225,             0.00021102,             0.00021102,             0.00021102
                     66,                0.55387,                0.34134,                 0.9328,                0.94507,                0.95167,                0.97663,                0.79513,                0.75781,                0.40324,                 1.1132,              0.0002104,              0.0002104,              0.0002104
                     67,                0.55314,                 0.3489,                0.93078,                0.96615,                0.96374,                0.98025,                0.79468,                0.77663,                0.37726,                 1.1202,             0.00020978,             0.00020978,             0.00020978
                     68,                0.54656,                0.35231,                 0.9302,                0.94025,                0.96064,                0.97577,                0.78997,                0.78067,                0.41397,                 1.1151,             0.00020916,             0.00020916,             0.00020916
                     69,                 0.5378,                0.34182,                0.92977,                0.94483,                0.95606,                0.97487,                0.79459,                0.76728,                0.41216,                  1.125,             0.00020854,             0.00020854,             0.00020854
